frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
1,13,0.48250484466552734,13,0,0,0,13,171.5261936187744,5.830013357741444,333.61767578125
2,12,0.47847601771354675,12,0,0,12,12,35.63714027404785,28.06061295351,333.61767578125
3,13,0.5238479375839233,13,0,0,12,13,36.03672981262207,27.749465758953086,333.61767578125
4,12,0.5271722674369812,12,0,0,10,12,35.48789024353027,28.17862637473379,333.61767578125
5,11,0.488319993019104,11,0,0,11,11,41.864871978759766,23.886374249689624,333.61767578125
6,11,0.5226370692253113,11,0,0,10,11,39.632320404052734,25.231931660951695,333.61767578125
7,13,0.42165449261665344,13,0,0,10,13,38.13529014587402,26.222430619377185,333.61767578125
8,13,0.41129907965660095,13,0,0,11,13,38.14864158630371,26.213253170173804,333.61767578125
9,12,0.4293057918548584,12,0,0,11,12,33.76889228820801,29.613053086411036,333.61767578125
10,13,0.42087921500205994,13,0,0,11,13,32.949209213256836,30.349742038654405,333.61767578125
11,10,0.4625632166862488,10,0,0,11,10,38.330078125,26.089171974522294,333.61767578125
12,11,0.48276758193969727,11,0,0,9,11,30.853748321533203,32.41097287690287,333.61767578125
13,9,0.5083238482475281,9,0,0,9,9,32.33218193054199,30.928936443208883,333.61767578125
14,10,0.5163712501525879,10,0,0,9,10,28.698444366455078,34.84509429259782,333.61767578125
15,13,0.46300140023231506,13,0,0,8,13,32.17649459838867,31.07858741238015,333.61767578125
16,12,0.5199097394943237,12,0,0,8,12,32.11808204650879,31.135109454915263,333.61767578125
17,11,0.5310196280479431,11,0,0,10,11,31.410694122314453,31.836291044889407,333.61767578125
18,12,0.4592396318912506,12,0,0,10,12,32.53340721130371,30.737635117804405,333.61767578125
19,14,0.4345396161079407,14,0,0,11,14,52.45327949523926,19.06458489579782,337.39013671875
20,12,0.49141716957092285,12,0,0,12,12,38.91348838806152,25.69803020555709,337.39013671875
21,13,0.43710440397262573,13,0,0,11,13,40.82465171813965,24.495003825241923,337.39013671875
22,10,0.43215498328208923,10,0,0,8,10,37.66274452209473,26.55143730731979,337.39013671875
23,9,0.417167991399765,9,0,0,7,9,37.23454475402832,26.85678062149027,337.39013671875
24,13,0.4048512876033783,13,0,0,8,13,41.51773452758789,24.08609263917123,337.39013671875
25,12,0.4186573028564453,12,0,0,9,12,40.1310920715332,24.918335095828233,337.39013671875
26,10,0.4494530260562897,10,0,0,11,10,38.152456283569336,26.21063222161814,337.39013671875
27,9,0.47556352615356445,9,0,0,9,9,37.23454475402832,26.85678062149027,337.39013671875
28,12,0.40101733803749084,12,0,0,7,12,40.89188575744629,24.45472937911412,337.39013671875
29,6,0.4818808138370514,6,0,0,8,6,51.10907554626465,19.565996631944284,337.39013671875
30,10,0.4278305172920227,10,0,0,6,10,38.7578010559082,25.801257366420195,337.39013671875
31,11,0.4126278758049011,11,0,0,6,11,40.636539459228516,24.608394644512504,337.39013671875
32,13,0.41023409366607666,13,0,0,6,13,43.656110763549805,22.906300687576117,337.39013671875
33,9,0.46274858713150024,9,0,0,6,9,39.423465728759766,25.36560349311175,337.39013671875
34,10,0.44645851850509644,10,0,0,6,10,40.871381759643555,24.466997614144795,337.39013671875
35,10,0.4286048412322998,10,0,0,8,10,40.56382179260254,24.65250944826816,337.39013671875
36,13,0.41486650705337524,13,0,0,8,13,44.45338249206543,22.49547602319108,337.39013671875
37,12,0.37833520770072937,12,0,0,6,12,43.06221008300781,23.222217300792842,337.39013671875
38,9,0.490167498588562,9,0,0,7,9,33.753156661987305,29.62685860804826,337.39013671875
39,12,0.43368783593177795,12,0,0,6,12,32.686710357666016,30.59347328188595,337.39013671875
40,8,0.47226595878601074,8,0,0,6,8,35.10594367980957,28.485204930557913,337.39013671875
41,9,0.46387577056884766,9,0,0,7,9,30.408143997192383,32.88592687841557,337.39013671875
42,6,0.46110329031944275,6,0,0,7,6,27.400970458984375,36.4950577753028,337.39013671875
43,8,0.443084180355072,8,0,0,6,8,29.27088737487793,34.16363799268557,337.39013671875
44,8,0.44804811477661133,8,0,0,7,8,29.15191650390625,34.30306202564773,337.39013671875
45,10,0.4282572269439697,10,0,0,9,10,31.63933753967285,31.60622433216533,337.39013671875
46,10,0.4018661379814148,10,0,0,9,10,31.696557998657227,31.5491669487382,337.39013671875
47,11,0.39326849579811096,11,0,0,7,11,32.42182731628418,30.843418856214196,337.39013671875
48,10,0.4022238254547119,10,0,0,7,10,42.82331466674805,23.35176545258165,337.39013671875
49,11,0.39479872584342957,11,0,0,7,11,44.17276382446289,22.63838423092285,337.39013671875
50,10,0.46355944871902466,10,0,0,9,10,43.21789741516113,23.13856202660135,337.39013671875
51,10,0.3498219847679138,10,0,0,10,10,37.509918212890625,26.659615580189158,337.39013671875
52,12,0.4567776620388031,12,0,0,8,12,36.37218475341797,27.493536799601458,337.39013671875
53,16,0.3917306065559387,16,0,0,8,16,84.18107032775879,11.87915520801176,345.39013671875
54,16,0.4420703053474426,16,0,0,8,16,133.30817222595215,7.501415579421786,345.39013671875
55,15,0.47160279750823975,15,0,0,12,15,87.86249160766602,11.381420919239558,345.39013671875
56,14,0.45185449719429016,14,0,0,12,14,60.32586097717285,16.57663867206798,345.39013671875
57,16,0.4723913371562958,16,0,0,12,16,84.70296859741211,11.805961662960565,345.39013671875
58,15,0.48611316084861755,15,0,0,12,15,172.46651649475098,5.798226927314526,345.39013671875
59,15,0.49944359064102173,15,0,0,9,15,40.89784622192383,24.451165339458313,345.39013671875
60,14,0.45238155126571655,14,0,0,13,14,43.320655822753906,23.083676389653274,345.39013671875
61,15,0.47994646430015564,15,0,0,12,15,42.775869369506836,23.377666304378117,345.39013671875
62,15,0.5011271238327026,15,0,0,12,15,43.961286544799805,22.74728695623878,345.39013671875
63,13,0.5295050144195557,13,0,0,12,13,42.71531105041504,23.410809272107212,345.39013671875
64,17,0.47490838170051575,17,0,0,11,17,115.73600769042969,8.640353334761615,349.39013671875
