frame,track_id,x1,y1,x2,y2,score
2,1,759.0,503.0,787.0,566.0,0.0
2,2,836.0,598.0,877.0,694.0,0.0
2,3,1181.0,505.0,1216.0,566.0,0.0
2,4,701.0,470.0,721.0,528.0,0.0
2,5,733.0,613.0,765.0,699.0,0.0
2,6,1000.0,454.0,1030.0,512.0,0.0
2,7,1136.0,417.0,1162.0,473.0,0.0
2,9,621.0,426.0,641.0,471.0,0.0
2,10,903.0,535.0,930.0,609.0,0.0
2,11,1052.0,410.0,1072.0,454.0,0.0
2,12,577.0,389.0,603.0,426.0,0.0
2,13,1073.0,285.0,1086.0,308.0,0.0
3,1,753.0,493.0,783.0,562.0,0.0
3,2,833.0,587.0,869.0,673.0,0.0
3,3,1192.0,498.0,1228.0,561.0,0.0
3,4,698.0,461.0,718.0,516.0,0.0
3,5,731.0,593.0,763.0,677.0,0.0
3,6,1005.0,449.0,1034.0,505.0,0.0
3,7,1139.0,417.0,1165.0,473.0,0.0
3,9,616.0,428.0,637.0,475.0,0.0
3,10,893.0,523.0,919.0,597.0,0.0
3,11,1053.0,409.0,1073.0,453.0,0.0
3,12,577.0,388.0,605.0,428.0,0.0
3,13,1074.0,285.0,1087.0,308.0,0.0
4,1,747.0,482.0,778.0,552.0,0.0
4,2,823.0,573.0,859.0,659.0,0.0
4,3,1206.0,490.0,1241.0,553.0,0.0
4,4,695.0,452.0,716.0,511.0,0.0
4,5,730.0,572.0,759.0,650.0,0.0
4,6,1016.0,442.0,1043.0,493.0,0.0
4,7,1144.0,416.0,1168.0,468.0,0.0
4,9,613.0,433.0,633.0,480.0,0.0
4,10,886.0,511.0,907.0,570.0,0.0
4,16,285.0,664.0,317.0,719.0,0.0
5,1,743.0,472.0,773.0,542.0,0.0
5,2,815.0,561.0,851.0,648.0,0.0
5,3,1217.0,483.0,1250.0,542.0,0.0
5,4,690.0,443.0,710.0,499.0,0.0
5,5,727.0,555.0,757.0,635.0,0.0
5,6,1028.0,436.0,1050.0,478.0,0.0
5,7,1148.0,415.0,1172.0,466.0,0.0
5,9,608.0,439.0,631.0,492.0,0.0
5,10,879.0,498.0,897.0,549.0,0.0
5,16,284.0,664.0,317.0,719.0,0.0
5,18,949.0,633.0,996.0,719.0,0.0
6,1,740.0,463.0,768.0,528.0,0.0
6,2,809.0,549.0,843.0,628.0,0.0
6,3,1225.0,478.0,1258.0,536.0,0.0
6,4,686.0,434.0,707.0,491.0,0.0
6,5,726.0,537.0,754.0,611.0,0.0
6,6,1036.0,432.0,1060.0,477.0,0.0
6,7,1153.0,414.0,1176.0,464.0,0.0
6,9,605.0,444.0,628.0,498.0,0.0
6,10,866.0,487.0,889.0,550.0,0.0
6,18,940.0,615.0,991.0,709.0,0.0
7,1,735.0,453.0,761.0,515.0,0.0
7,2,802.0,536.0,834.0,613.0,0.0
7,4,685.0,432.0,703.0,483.0,0.0
7,5,728.0,521.0,754.0,589.0,0.0
7,6,1049.0,427.0,1069.0,465.0,0.0
7,7,1159.0,414.0,1183.0,463.0,0.0
7,9,604.0,450.0,625.0,499.0,0.0
7,10,858.0,477.0,880.0,537.0,0.0
7,16,279.0,669.0,309.0,719.0,0.0
7,18,931.0,595.0,982.0,690.0,0.0
8,1,732.0,445.0,757.0,504.0,0.0
8,2,798.0,526.0,830.0,604.0,0.0
8,3,1252.0,466.0,1279.0,521.0,0.0
8,4,683.0,428.0,700.0,475.0,0.0
8,5,729.0,508.0,754.0,576.0,0.0
8,6,1061.0,422.0,1079.0,456.0,0.0
8,7,1164.0,413.0,1187.0,462.0,0.0
8,9,601.0,456.0,622.0,504.0,0.0
8,10,854.0,467.0,876.0,531.0,0.0
8,16,279.0,671.0,308.0,719.0,0.0
8,18,928.0,581.0,974.0,668.0,0.0
9,1,730.0,436.0,753.0,492.0,0.0
9,2,792.0,515.0,822.0,587.0,0.0
9,3,1262.0,460.0,1279.0,515.0,0.0
9,4,677.0,417.0,695.0,466.0,0.0
9,5,731.0,494.0,755.0,558.0,0.0
9,6,1070.0,417.0,1092.0,456.0,0.0
9,7,1165.0,409.0,1190.0,462.0,0.0
9,9,599.0,458.0,621.0,506.0,0.0
9,10,851.0,458.0,874.0,520.0,0.0
9,16,279.0,672.0,308.0,719.0,0.0
9,18,924.0,564.0,968.0,649.0,0.0
10,1,727.0,428.0,749.0,480.0,0.0
10,2,787.0,504.0,815.0,572.0,0.0
10,4,668.0,408.0,687.0,457.0,0.0
10,5,734.0,482.0,758.0,545.0,0.0
10,6,1082.0,414.0,1104.0,455.0,0.0
10,7,1169.0,408.0,1194.0,461.0,0.0
10,9,595.0,472.0,616.0,519.0,0.0
10,10,851.0,450.0,872.0,509.0,0.0
10,16,281.0,673.0,310.0,719.0,0.0
10,18,922.0,550.0,964.0,629.0,0.0
10,29,871.0,388.0,894.0,419.0,0.0
11,1,723.0,419.0,745.0,470.0,0.0
11,2,783.0,496.0,811.0,561.0,0.0
11,4,664.0,401.0,683.0,450.0,0.0
11,5,738.0,474.0,760.0,532.0,0.0
11,6,1091.0,413.0,1114.0,454.0,0.0
11,7,1176.0,409.0,1197.0,453.0,0.0
11,9,593.0,480.0,614.0,526.0,0.0
11,10,851.0,443.0,872.0,500.0,0.0
11,16,281.0,674.0,309.0,719.0,0.0
11,18,922.0,537.0,962.0,615.0,0.0
11,29,873.0,387.0,896.0,419.0,0.0
12,1,721.0,415.0,741.0,461.0,0.0
12,2,777.0,486.0,806.0,557.0,0.0
12,4,663.0,395.0,682.0,444.0,0.0
12,5,744.0,463.0,766.0,519.0,0.0
12,6,1101.0,410.0,1123.0,449.0,0.0
12,7,1178.0,408.0,1202.0,457.0,0.0
12,9,590.0,485.0,612.0,533.0,0.0
12,10,852.0,436.0,873.0,493.0,0.0
12,18,923.0,524.0,962.0,601.0,0.0
13,1,719.0,407.0,739.0,455.0,0.0
13,2,773.0,478.0,801.0,546.0,0.0
13,4,659.0,388.0,679.0,436.0,0.0
13,5,746.0,450.0,767.0,504.0,0.0
13,6,1119.0,409.0,1139.0,445.0,0.0
13,7,1180.0,409.0,1208.0,465.0,0.0
13,9,588.0,492.0,610.0,541.0,0.0
13,10,855.0,428.0,877.0,483.0,0.0
13,18,925.0,512.0,962.0,585.0,0.0
14,1,717.0,401.0,737.0,450.0,0.0
14,2,768.0,471.0,795.0,538.0,0.0
14,4,657.0,385.0,674.0,425.0,0.0
14,5,758.0,446.0,778.0,497.0,0.0
14,6,1130.0,405.0,1150.0,441.0,0.0
14,7,1184.0,409.0,1214.0,470.0,0.0
14,9,586.0,498.0,608.0,547.0,0.0
14,10,860.0,423.0,881.0,476.0,0.0
14,18,928.0,503.0,964.0,574.0,0.0
15,1,714.0,394.0,734.0,444.0,0.0
15,2,764.0,463.0,791.0,529.0,0.0
15,4,654.0,380.0,672.0,424.0,0.0
15,5,762.0,434.0,780.0,482.0,0.0
15,7,1192.0,409.0,1218.0,461.0,0.0
15,9,585.0,507.0,607.0,558.0,0.0
15,10,866.0,417.0,887.0,468.0,0.0
15,18,933.0,495.0,965.0,560.0,0.0
16,1,712.0,389.0,731.0,437.0,0.0
16,2,760.0,455.0,786.0,518.0,0.0
16,4,652.0,376.0,669.0,418.0,0.0
16,7,1197.0,409.0,1222.0,458.0,0.0
16,9,584.0,517.0,607.0,567.0,0.0
16,10,866.0,409.0,886.0,459.0,0.0
16,18,938.0,485.0,969.0,549.0,0.0
16,43,915.0,578.0,953.0,651.0,0.0
17,1,710.0,385.0,728.0,431.0,0.0
17,2,758.0,448.0,784.0,512.0,0.0
17,4,650.0,372.0,666.0,412.0,0.0
17,7,1201.0,408.0,1226.0,458.0,0.0
17,9,584.0,525.0,607.0,576.0,0.0
17,12,532.0,394.0,555.0,427.0,0.0
17,18,943.0,478.0,973.0,541.0,0.0
17,43,905.0,566.0,942.0,638.0,0.0
17,49,851.0,660.0,922.0,719.0,0.0
17,50,881.0,411.0,906.0,460.0,0.0
18,1,707.0,380.0,725.0,424.0,0.0
18,2,756.0,442.0,779.0,500.0,0.0
18,4,647.0,366.0,664.0,408.0,0.0
18,7,1207.0,408.0,1232.0,458.0,0.0
18,9,583.0,535.0,608.0,591.0,0.0
18,12,529.0,395.0,552.0,427.0,0.0
18,18,950.0,470.0,978.0,530.0,0.0
18,43,894.0,550.0,927.0,613.0,0.0
18,49,835.0,643.0,925.0,719.0,0.0
18,50,890.0,407.0,915.0,454.0,0.0
19,1,705.0,375.0,722.0,418.0,0.0
19,2,753.0,435.0,776.0,492.0,0.0
19,4,645.0,360.0,662.0,402.0,0.0
19,7,1210.0,407.0,1235.0,458.0,0.0
19,9,585.0,546.0,609.0,597.0,0.0
19,11,1023.0,367.0,1043.0,412.0,0.0
19,16,272.0,684.0,295.0,719.0,0.0
19,18,958.0,462.0,985.0,518.0,0.0
19,43,883.0,535.0,918.0,602.0,0.0
19,49,815.0,622.0,928.0,719.0,0.0
19,50,895.0,405.0,919.0,451.0,0.0
20,1,702.0,369.0,719.0,412.0,0.0
20,2,752.0,429.0,774.0,486.0,0.0
20,4,645.0,356.0,662.0,398.0,0.0
20,7,1212.0,406.0,1238.0,457.0,0.0
20,9,586.0,555.0,610.0,608.0,0.0
20,11,1029.0,366.0,1049.0,409.0,0.0
20,16,272.0,686.0,293.0,719.0,0.0
20,18,964.0,457.0,991.0,513.0,0.0
20,43,873.0,524.0,910.0,594.0,0.0
20,49,804.0,611.0,930.0,719.0,0.0
20,57,909.0,404.0,940.0,443.0,0.0
20,59,567.0,393.0,590.0,436.0,0.0
21,1,701.0,364.0,717.0,405.0,0.0
21,2,749.0,424.0,770.0,476.0,0.0
21,4,644.0,353.0,660.0,393.0,0.0
21,7,1216.0,407.0,1242.0,456.0,0.0
21,9,585.0,562.0,609.0,616.0,0.0
21,11,1028.0,363.0,1048.0,406.0,0.0
21,18,971.0,450.0,999.0,507.0,0.0
21,43,866.0,512.0,902.0,583.0,0.0
21,57,910.0,403.0,942.0,444.0,0.0
21,59,576.0,393.0,600.0,437.0,0.0
21,61,844.0,586.0,878.0,681.0,0.0
22,1,699.0,361.0,715.0,402.0,0.0
22,2,747.0,418.0,767.0,469.0,0.0
22,4,644.0,350.0,660.0,388.0,0.0
22,7,1222.0,408.0,1247.0,455.0,0.0
22,18,983.0,443.0,1009.0,497.0,0.0
22,43,860.0,500.0,891.0,562.0,0.0
22,59,581.0,393.0,605.0,438.0,0.0
22,61,840.0,570.0,872.0,658.0,0.0
23,1,696.0,356.0,713.0,397.0,0.0
23,2,746.0,413.0,766.0,464.0,0.0
23,4,643.0,346.0,658.0,382.0,0.0
23,7,1226.0,407.0,1251.0,455.0,0.0
23,18,992.0,439.0,1018.0,492.0,0.0
23,43,855.0,492.0,885.0,551.0,0.0
23,61,840.0,560.0,866.0,631.0,0.0
24,1,694.0,352.0,709.0,388.0,0.0
24,2,744.0,407.0,764.0,459.0,0.0
24,4,645.0,343.0,660.0,380.0,0.0
24,7,1232.0,407.0,1256.0,455.0,0.0
24,9,594.0,593.0,620.0,648.0,0.0
24,18,1002.0,435.0,1028.0,487.0,0.0
24,43,848.0,482.0,879.0,544.0,0.0
24,61,837.0,545.0,861.0,609.0,0.0
25,1,691.0,349.0,707.0,386.0,0.0
25,2,742.0,401.0,761.0,449.0,0.0
25,4,643.0,338.0,659.0,374.0,0.0
25,7,1234.0,407.0,1259.0,456.0,0.0
25,9,598.0,606.0,623.0,661.0,0.0
25,13,1092.0,360.0,1111.0,395.0,0.0
25,18,1014.0,430.0,1039.0,480.0,0.0
25,43,845.0,471.0,873.0,529.0,0.0
25,61,837.0,530.0,859.0,590.0,0.0
26,1,690.0,346.0,705.0,383.0,0.0
26,2,741.0,397.0,759.0,445.0,0.0
26,7,1239.0,407.0,1263.0,456.0,0.0
26,9,600.0,617.0,626.0,673.0,0.0
26,13,1092.0,364.0,1112.0,399.0,0.0
26,18,1024.0,426.0,1050.0,476.0,0.0
26,29,924.0,388.0,945.0,417.0,0.0
26,43,843.0,463.0,870.0,519.0,0.0
26,61,837.0,518.0,858.0,574.0,0.0
26,78,1041.0,374.0,1059.0,399.0,0.0
26,80,644.0,392.0,663.0,427.0,0.0
27,1,688.0,341.0,704.0,380.0,0.0
27,2,739.0,391.0,758.0,439.0,0.0
27,9,601.0,631.0,630.0,692.0,0.0
27,18,1035.0,424.0,1060.0,472.0,0.0
27,29,928.0,388.0,949.0,416.0,0.0
27,43,842.0,455.0,869.0,509.0,0.0
27,61,836.0,505.0,858.0,561.0,0.0
27,78,1043.0,374.0,1061.0,398.0,0.0
27,80,646.0,391.0,665.0,426.0,0.0
28,1,688.0,346.0,700.0,376.0,0.0
28,2,738.0,386.0,757.0,435.0,0.0
28,4,643.0,331.0,658.0,368.0,0.0
28,9,603.0,646.0,634.0,713.0,0.0
28,18,1052.0,420.0,1073.0,458.0,0.0
28,43,843.0,448.0,868.0,498.0,0.0
28,61,836.0,496.0,857.0,549.0,0.0
29,1,686.0,342.0,697.0,370.0,0.0
29,2,736.0,382.0,756.0,432.0,0.0
29,4,643.0,331.0,658.0,367.0,0.0
29,9,603.0,656.0,635.0,719.0,0.0
29,18,1062.0,414.0,1081.0,450.0,0.0
29,43,845.0,441.0,869.0,488.0,0.0
29,61,835.0,484.0,858.0,541.0,0.0
29,88,798.0,643.0,842.0,719.0,0.0
30,2,735.0,378.0,754.0,427.0,0.0
30,4,642.0,328.0,657.0,364.0,0.0
30,12,503.0,394.0,524.0,424.0,0.0
30,43,847.0,435.0,871.0,481.0,0.0
30,61,835.0,473.0,856.0,527.0,0.0
30,88,795.0,639.0,841.0,718.0,0.0
31,2,733.0,374.0,751.0,418.0,0.0
31,12,501.0,394.0,522.0,423.0,0.0
31,43,850.0,429.0,873.0,475.0,0.0
31,61,840.0,469.0,860.0,518.0,0.0
31,92,777.0,597.0,809.0,683.0,0.0
31,97,614.0,693.0,635.0,719.0,0.0
32,2,731.0,370.0,749.0,416.0,0.0
32,43,853.0,426.0,877.0,470.0,0.0
32,61,841.0,461.0,861.0,508.0,0.0
32,92,769.0,583.0,798.0,660.0,0.0
32,97,616.0,697.0,633.0,718.0,0.0
32,100,528.0,390.0,560.0,430.0,0.0
33,2,729.0,366.0,748.0,417.0,0.0
33,43,852.0,418.0,875.0,461.0,0.0
33,61,845.0,451.0,864.0,496.0,0.0
33,92,755.0,564.0,781.0,635.0,0.0
33,100,530.0,389.0,563.0,429.0,0.0
33,112,924.0,635.0,971.0,719.0,0.0
34,2,727.0,365.0,743.0,408.0,0.0
34,61,846.0,442.0,867.0,492.0,0.0
34,92,742.0,548.0,769.0,618.0,0.0
34,112,910.0,617.0,958.0,704.0,0.0
34,114,868.0,416.0,894.0,461.0,0.0
34,116,1128.0,413.0,1160.0,453.0,0.0
35,2,725.0,363.0,740.0,401.0,0.0
35,12,486.0,405.0,503.0,428.0,0.0
35,59,585.0,389.0,603.0,423.0,0.0
35,61,850.0,435.0,872.0,485.0,0.0
35,92,733.0,534.0,761.0,606.0,0.0
35,112,898.0,601.0,949.0,695.0,0.0
35,114,876.0,412.0,898.0,450.0,0.0
35,116,1130.0,412.0,1162.0,452.0,0.0
36,2,722.0,359.0,738.0,397.0,0.0
36,12,483.0,406.0,499.0,428.0,0.0
36,18,1104.0,355.0,1122.0,387.0,0.0
36,59,586.0,388.0,604.0,422.0,0.0
36,61,855.0,429.0,876.0,480.0,0.0
36,92,726.0,519.0,752.0,590.0,0.0
36,112,887.0,584.0,936.0,678.0,0.0
36,114,884.0,407.0,910.0,450.0,0.0
37,2,718.0,353.0,735.0,393.0,0.0
37,18,1111.0,347.0,1128.0,378.0,0.0
37,61,860.0,422.0,880.0,469.0,0.0
37,92,719.0,506.0,743.0,572.0,0.0
37,112,874.0,567.0,920.0,655.0,0.0
37,114,889.0,404.0,915.0,448.0,0.0
38,2,717.0,355.0,733.0,392.0,0.0
38,61,863.0,413.0,882.0,458.0,0.0
38,92,711.0,493.0,737.0,564.0,0.0
38,100,530.0,403.0,567.0,448.0,0.0
38,112,866.0,554.0,910.0,639.0,0.0
38,135,790.0,388.0,812.0,429.0,0.0
38,136,865.0,419.0,885.0,475.0,0.0
39,2,715.0,354.0,731.0,390.0,0.0
39,92,706.0,484.0,730.0,549.0,0.0
39,100,530.0,405.0,568.0,451.0,0.0
39,112,857.0,541.0,897.0,623.0,0.0
39,135,798.0,386.0,822.0,430.0,0.0
39,136,872.0,414.0,889.0,464.0,0.0
40,2,713.0,353.0,728.0,387.0,0.0
40,92,700.0,475.0,723.0,537.0,0.0
40,112,848.0,528.0,884.0,603.0,0.0
40,135,810.0,385.0,834.0,430.0,0.0
40,136,879.0,410.0,897.0,459.0,0.0
40,145,1060.0,328.0,1076.0,356.0,0.0
41,2,711.0,350.0,726.0,384.0,0.0
41,92,696.0,467.0,718.0,525.0,0.0
41,112,839.0,518.0,875.0,593.0,0.0
41,114,937.0,392.0,960.0,432.0,0.0
41,135,822.0,385.0,845.0,427.0,0.0
41,136,886.0,405.0,903.0,451.0,0.0
41,145,1058.0,327.0,1074.0,356.0,0.0
42,2,708.0,346.0,722.0,378.0,0.0
42,92,689.0,458.0,711.0,514.0,0.0
42,112,832.0,506.0,866.0,580.0,0.0
42,114,953.0,387.0,976.0,425.0,0.0
42,135,831.0,385.0,853.0,427.0,0.0
42,136,895.0,401.0,911.0,445.0,0.0
42,145,1053.0,320.0,1072.0,356.0,0.0
43,2,705.0,343.0,720.0,377.0,0.0
43,92,684.0,449.0,705.0,504.0,0.0
43,112,824.0,495.0,856.0,567.0,0.0
43,114,967.0,383.0,991.0,422.0,0.0
43,136,907.0,397.0,922.0,438.0,0.0
43,145,1049.0,318.0,1070.0,357.0,0.0
44,2,702.0,340.0,719.0,377.0,0.0
44,92,681.0,443.0,701.0,497.0,0.0
44,112,818.0,485.0,848.0,554.0,0.0
44,114,978.0,381.0,1003.0,422.0,0.0
44,135,856.0,383.0,874.0,417.0,0.0
44,136,914.0,393.0,929.0,431.0,0.0
44,145,1046.0,315.0,1068.0,357.0,0.0
45,2,701.0,336.0,717.0,371.0,0.0
45,59,618.0,398.0,637.0,431.0,0.0
45,80,621.0,398.0,635.0,422.0,0.0
45,92,676.0,436.0,696.0,489.0,0.0
45,112,811.0,476.0,838.0,538.0,0.0
45,114,989.0,378.0,1013.0,419.0,0.0
45,135,868.0,383.0,884.0,413.0,0.0
45,136,931.0,390.0,944.0,423.0,0.0
45,145,1044.0,323.0,1063.0,358.0,0.0
46,2,699.0,332.0,714.0,366.0,0.0
46,59,621.0,399.0,640.0,432.0,0.0
46,80,620.0,399.0,633.0,421.0,0.0
46,92,672.0,431.0,690.0,479.0,0.0
46,112,804.0,467.0,829.0,525.0,0.0
46,114,1004.0,376.0,1028.0,416.0,0.0
46,135,878.0,381.0,897.0,416.0,0.0
46,136,941.0,387.0,952.0,416.0,0.0
46,145,1042.0,326.0,1059.0,358.0,0.0
47,2,698.0,329.0,713.0,365.0,0.0
47,78,1017.0,382.0,1043.0,417.0,0.0
47,92,666.0,422.0,684.0,468.0,0.0
47,112,796.0,459.0,820.0,515.0,0.0
47,114,1019.0,376.0,1041.0,413.0,0.0
47,135,888.0,381.0,907.0,417.0,0.0
47,145,1040.0,327.0,1054.0,355.0,0.0
48,2,697.0,327.0,712.0,362.0,0.0
48,29,954.0,381.0,984.0,423.0,0.0
48,78,1016.0,383.0,1042.0,418.0,0.0
48,112,788.0,451.0,813.0,509.0,0.0
48,114,1034.0,376.0,1054.0,409.0,0.0
48,135,897.0,381.0,919.0,421.0,0.0
48,145,1037.0,328.0,1052.0,357.0,0.0
49,2,695.0,324.0,710.0,359.0,0.0
49,29,963.0,379.0,992.0,422.0,0.0
49,57,812.0,380.0,843.0,419.0,0.0
49,112,781.0,444.0,805.0,501.0,0.0
49,114,1049.0,373.0,1070.0,408.0,0.0
49,135,908.0,381.0,930.0,423.0,0.0
49,145,1034.0,328.0,1049.0,358.0,0.0
50,11,988.0,374.0,1006.0,416.0,0.0
50,29,965.0,378.0,994.0,423.0,0.0
50,49,757.0,683.0,800.0,719.0,0.0
50,57,808.0,379.0,840.0,418.0,0.0
50,92,659.0,407.0,677.0,454.0,0.0
50,112,776.0,437.0,799.0,492.0,0.0
50,114,1065.0,372.0,1085.0,406.0,0.0
50,135,918.0,380.0,941.0,423.0,0.0
50,145,1031.0,329.0,1046.0,360.0,0.0
51,11,986.0,375.0,1005.0,417.0,0.0
51,49,737.0,672.0,791.0,719.0,0.0
51,88,767.0,433.0,795.0,484.0,0.0
51,92,657.0,402.0,674.0,447.0,0.0
51,112,772.0,431.0,794.0,486.0,0.0
51,114,1078.0,369.0,1098.0,403.0,0.0
51,145,1029.0,329.0,1044.0,360.0,0.0
51,180,934.0,655.0,970.0,717.0,0.0
51,181,695.0,392.0,714.0,417.0,0.0
51,182,523.0,355.0,541.0,384.0,0.0
52,49,720.0,644.0,793.0,719.0,0.0
52,88,765.0,424.0,793.0,473.0,0.0
52,92,655.0,397.0,672.0,443.0,0.0
52,112,765.0,424.0,787.0,479.0,0.0
52,145,1026.0,327.0,1041.0,360.0,0.0
52,180,930.0,667.0,959.0,718.0,0.0
52,181,697.0,392.0,716.0,418.0,0.0
52,182,521.0,356.0,538.0,383.0,0.0
53,49,702.0,622.0,798.0,719.0,0.0
53,92,654.0,392.0,671.0,438.0,0.0
53,112,759.0,419.0,781.0,473.0,0.0
53,135,955.0,377.0,977.0,418.0,0.0
53,145,1022.0,327.0,1038.0,360.0,0.0
53,180,927.0,670.0,955.0,718.0,0.0
53,186,874.0,671.0,925.0,719.0,0.0
53,190,475.0,684.0,507.0,719.0,0.0
54,16,263.0,693.0,282.0,719.0,0.0
54,92,654.0,387.0,671.0,432.0,0.0
54,112,752.0,410.0,775.0,466.0,0.0
54,135,970.0,376.0,988.0,409.0,0.0
54,145,1018.0,327.0,1034.0,361.0,0.0
54,186,866.0,660.0,927.0,719.0,0.0
54,190,473.0,678.0,510.0,719.0,0.0
54,199,720.0,599.0,749.0,688.0,0.0
55,11,985.0,376.0,1002.0,417.0,0.0
55,16,262.0,692.0,282.0,719.0,0.0
55,88,741.0,392.0,774.0,456.0,0.0
55,92,654.0,383.0,671.0,426.0,0.0
55,112,746.0,408.0,767.0,458.0,0.0
55,135,981.0,375.0,998.0,407.0,0.0
55,145,1015.0,327.0,1032.0,361.0,0.0
55,186,859.0,646.0,932.0,719.0,0.0
55,190,473.0,671.0,516.0,719.0,0.0
55,199,713.0,585.0,741.0,670.0,0.0
55,203,1097.0,267.0,1111.0,294.0,0.0
55,204,1064.0,653.0,1119.0,719.0,0.0
56,11,984.0,376.0,1001.0,417.0,0.0
56,16,261.0,691.0,283.0,719.0,0.0
56,29,994.0,375.0,1019.0,416.0,0.0
56,88,736.0,381.0,770.0,448.0,0.0
56,92,656.0,380.0,672.0,423.0,0.0
56,112,742.0,403.0,762.0,449.0,0.0
56,145,1013.0,327.0,1028.0,361.0,0.0
56,186,852.0,631.0,937.0,717.0,0.0
56,190,475.0,665.0,522.0,719.0,0.0
56,199,703.0,564.0,731.0,650.0,0.0
56,203,1097.0,267.0,1111.0,293.0,0.0
56,204,1060.0,637.0,1125.0,717.0,0.0
57,16,261.0,691.0,285.0,719.0,0.0
57,29,997.0,375.0,1022.0,416.0,0.0
57,92,657.0,376.0,672.0,417.0,0.0
57,112,739.0,399.0,758.0,445.0,0.0
57,135,1010.0,373.0,1027.0,405.0,0.0
57,145,1011.0,327.0,1026.0,361.0,0.0
57,186,846.0,622.0,940.0,717.0,0.0
57,190,476.0,659.0,528.0,719.0,0.0
57,199,696.0,552.0,721.0,628.0,0.0
57,204,1059.0,623.0,1130.0,712.0,0.0
57,215,769.0,387.0,791.0,428.0,0.0
57,218,934.0,370.0,959.0,407.0,0.0
58,16,260.0,691.0,285.0,719.0,0.0
58,92,659.0,373.0,674.0,412.0,0.0
58,112,735.0,392.0,753.0,437.0,0.0
58,135,1025.0,373.0,1041.0,402.0,0.0
