frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
1,79,0.25949105620384216,79,0,0,0,79,240.0522232055664,4.165760211033995,603.18701171875
2,83,0.2372293323278427,83,0,0,58,83,144.82474327087402,6.904897446492569,619.56201171875
3,66,0.23874731361865997,66,0,0,63,66,120.15390396118164,8.322659248117914,619.56201171875
4,66,0.2698282301425934,66,0,0,41,66,120.91469764709473,8.270293185685581,619.56201171875
5,69,0.27074605226516724,69,0,0,44,69,125.5788803100586,7.963122441695335,619.56201171875
6,70,0.28144171833992004,70,0,0,44,70,128.38506698608398,7.789067868059708,619.56201171875
7,66,0.255914568901062,66,0,0,42,66,126.44505500793457,7.90857341109345,619.56201171875
8,78,0.2336203008890152,78,0,0,49,78,163.7403964996338,6.107228401650026,619.56201171875
9,59,0.27616092562675476,59,0,0,48,59,123.46577644348145,8.099410450456018,619.56201171875
10,58,0.28273919224739075,58,0,0,44,58,124.26114082336426,8.047568156657182,619.56201171875
11,65,0.247095987200737,65,0,0,47,65,131.26015663146973,7.618458073363667,619.56201171875
12,76,0.2647157609462738,76,0,0,59,76,159.47437286376953,6.270599984451714,619.56201171875
13,70,0.2630945146083832,70,0,0,56,70,142.2290802001953,7.0309109683648705,619.56201171875
14,62,0.280693918466568,62,0,0,52,62,137.6338005065918,7.265657101084746,619.56201171875
15,66,0.2750907242298126,66,0,0,56,66,142.0741081237793,7.038580169222456,619.56201171875
16,59,0.27225327491760254,59,0,0,52,59,139.07313346862793,7.190461414501598,619.56201171875
17,55,0.2632277011871338,55,0,0,58,55,134.02414321899414,7.4613422326901935,619.56201171875
18,61,0.2568140923976898,61,0,0,54,61,158.58864784240723,6.305621578876947,619.56201171875
19,60,0.24778161942958832,60,0,0,50,60,155.17520904541016,6.444328357291673,619.56201171875
20,66,0.25574809312820435,66,0,0,51,66,236.08899116516113,4.2356909361369945,619.56201171875
21,62,0.25486189126968384,62,0,0,50,62,278.9647579193115,3.584682192326396,619.56201171875
22,58,0.2638902962207794,58,0,0,49,58,231.5804958343506,4.318152944604193,619.56201171875
23,54,0.26371121406555176,54,0,0,51,54,242.6307201385498,4.121489642486196,619.56201171875
24,61,0.2335246503353119,61,0,0,50,61,174.74794387817383,5.7225279897836945,619.56201171875
25,60,0.21785305440425873,60,0,0,52,60,168.46585273742676,5.935921041272465,619.56201171875
26,55,0.26420795917510986,55,0,0,58,55,160.80570220947266,6.218684948729962,619.56201171875
27,72,0.24953661859035492,72,0,0,55,72,265.1486396789551,3.771469471654884,619.56201171875
28,59,0.2712213695049286,59,0,0,57,59,253.64279747009277,3.94255232150998,619.56201171875
29,72,0.21911272406578064,72,0,0,54,72,268.10407638549805,3.7298947986234006,619.56201171875
30,80,0.22511044144630432,80,0,0,62,80,287.17565536499023,3.482189319735459,619.56201171875
31,69,0.26902270317077637,69,0,0,63,69,290.9102439880371,3.4374863748047395,619.56201171875
32,70,0.2217368483543396,70,0,0,63,70,641.2606239318848,1.559428355149124,619.56201171875
33,75,0.18727123737335205,75,0,0,60,75,790.4462814331055,1.265108108532014,619.56201171875
34,63,0.20743288099765778,63,0,0,49,63,786.0355377197266,1.2722071102548111,619.56201171875
35,60,0.2505258023738861,60,0,0,50,60,213.90509605407715,4.67497043524008,619.56201171875
36,71,0.21121394634246826,71,0,0,54,71,354.6435832977295,2.8197323935802965,619.56201171875
37,64,0.21481546759605408,64,0,0,47,64,819.9450969696045,1.2195938529248505,619.56201171875
38,65,0.20282728970050812,65,0,0,42,65,424.2889881134033,2.3568841709667976,619.56201171875
39,57,0.20655564963817596,57,0,0,49,57,786.0431671142578,1.2721947621162157,619.56201171875
40,65,0.18292024731636047,65,0,0,50,65,400.8328914642334,2.494805245016253,619.56201171875
41,63,0.2051328867673874,63,0,0,43,63,312.84618377685547,3.196459000801724,619.56201171875
42,55,0.19591329991817474,55,0,0,50,55,320.61123847961426,3.119042254233343,619.56201171875
43,47,0.19503284990787506,47,0,0,49,47,403.0895233154297,2.4808384791918043,619.56201171875
44,50,0.20670434832572937,50,0,0,50,50,304.31175231933594,3.286103781330893,619.56201171875
