frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
1,10,0.3675728738307953,10,0,0,0,10,336.54236793518066,2.9713940807375665,128.9326171875
2,10,0.351498007774353,10,0,0,7,10,22.284269332885742,44.874704441139656,128.9326171875
3,9,0.3897097408771515,9,0,0,8,9,35.015106201171875,28.559102298725353,128.9326171875
4,11,0.40944159030914307,11,0,0,7,11,36.18192672729492,27.638108040432794,133.9951171875
5,8,0.4292128384113312,8,0,0,9,8,36.62872314453125,27.3009789627161,133.9951171875
6,5,0.5123170614242554,5,0,0,8,5,35.454750061035156,28.204965435618796,133.9951171875
7,8,0.4049045443534851,8,0,0,7,8,20.44391632080078,48.91430703923123,133.9951171875
8,11,0.39330723881721497,11,0,0,10,11,24.711132049560547,40.46759160990294,133.9951171875
9,5,0.5053434371948242,5,0,0,9,5,31.74448013305664,31.501539663226833,133.9951171875
10,9,0.40744340419769287,9,0,0,7,9,25.127172470092773,39.79755387082388,133.9951171875
11,9,0.38161104917526245,9,0,0,7,9,34.12365913391113,29.305180786026202,133.9951171875
12,8,0.4179690480232239,8,0,0,7,8,20.552396774291992,48.65612565687969,133.9951171875
13,9,0.382718563079834,9,0,0,7,9,31.742334365844727,31.503669152827538,133.9951171875
14,8,0.37617015838623047,8,0,0,7,8,20.939111709594727,47.75751779106177,133.9951171875
15,12,0.4019077718257904,12,0,0,7,12,40.25864601135254,24.83938480489408,137.9951171875
16,10,0.38757219910621643,10,0,0,7,10,35.964012145996094,27.805573970459548,137.9951171875
17,9,0.39508897066116333,9,0,0,9,9,39.88456726074219,25.072354263306394,137.9951171875
18,6,0.4347364902496338,6,0,0,9,6,35.752058029174805,27.97041779200427,137.9951171875
19,7,0.34870484471321106,7,0,0,5,7,36.046743392944336,27.7417571151722,137.9951171875
20,6,0.4128316342830658,6,0,0,5,6,28.459548950195312,35.137591314255076,137.9951171875
21,6,0.35903263092041016,6,0,0,5,6,19.686460494995117,50.79633285293868,137.9951171875
22,2,0.5450687408447266,2,0,0,3,2,135.04338264465332,7.405027780082731,137.9951171875
23,5,0.4654361605644226,5,0,0,4,5,18.88895034790039,52.94100421578775,137.9951171875
24,4,0.4792039096355438,4,0,0,4,4,35.449981689453125,28.208759281179383,137.9951171875
25,6,0.3707352876663208,6,0,0,5,6,28.7015438079834,34.841331417226684,137.9951171875
26,4,0.3694000244140625,4,0,0,6,4,17.177581787109375,58.215411947590496,137.9951171875
27,8,0.39647823572158813,8,0,0,6,8,21.915435791015625,45.62993907745866,137.9951171875
28,10,0.3945043087005615,10,0,0,6,10,27.8322696685791,35.9295167770287,137.9951171875
29,9,0.3351610004901886,9,0,0,8,9,24.80173110961914,40.31976621229308,137.9951171875
30,5,0.368258535861969,5,0,0,6,5,20.036935806274414,49.90783070168132,137.9951171875
31,9,0.3663405179977417,9,0,0,5,9,24.553537368774414,40.72732922270234,137.9951171875
32,10,0.34332892298698425,10,0,0,7,10,26.495695114135742,37.74198018554679,137.9951171875
33,7,0.36082687973976135,7,0,0,5,7,22.753238677978516,43.94978728754951,137.9951171875
34,5,0.37765517830848694,5,0,0,4,5,19.993305206298828,50.016742588661785,137.9951171875
