frame,track_id,x1,y1,x2,y2,score
2,1,999.0,455.0,1028.0,514.0,0.0
2,2,761.0,502.0,787.0,575.0,0.0
2,3,838.0,599.0,875.0,693.0,0.0
2,4,623.0,428.0,640.0,468.0,0.0
2,5,1135.0,420.0,1156.0,479.0,0.0
2,6,1176.0,505.0,1213.0,580.0,0.0
2,10,907.0,535.0,928.0,608.0,0.0
3,1,1007.0,451.0,1035.0,506.0,0.0
3,2,757.0,491.0,782.0,559.0,0.0
3,3,831.0,587.0,865.0,676.0,0.0
3,4,623.0,429.0,639.0,467.0,0.0
3,5,1136.0,419.0,1157.0,479.0,0.0
3,6,1189.0,497.0,1225.0,571.0,0.0
3,10,906.0,534.0,927.0,607.0,0.0
3,11,732.0,596.0,764.0,675.0,0.0
4,1,1016.0,442.0,1042.0,496.0,0.0
4,2,751.0,480.0,776.0,548.0,0.0
4,3,823.0,572.0,856.0,657.0,0.0
4,5,1148.0,419.0,1165.0,466.0,0.0
4,6,1203.0,490.0,1239.0,561.0,0.0
4,11,729.0,572.0,760.0,650.0,0.0
4,16,693.0,452.0,720.0,513.0,0.0
5,1,1025.0,438.0,1051.0,490.0,0.0
5,2,747.0,473.0,770.0,534.0,0.0
5,3,817.0,563.0,849.0,644.0,0.0
5,5,1152.0,418.0,1168.0,462.0,0.0
5,6,1214.0,485.0,1248.0,553.0,0.0
5,11,726.0,554.0,758.0,636.0,0.0
5,16,693.0,450.0,720.0,512.0,0.0
5,18,1094.0,403.0,1118.0,447.0,0.0
5,20,946.0,631.0,1000.0,719.0,0.0
6,1,1034.0,432.0,1059.0,482.0,0.0
6,2,744.0,465.0,765.0,524.0,0.0
6,3,811.0,550.0,841.0,627.0,0.0
6,6,1224.0,481.0,1256.0,547.0,0.0
6,11,722.0,537.0,759.0,630.0,0.0
6,18,1097.0,402.0,1120.0,446.0,0.0
6,20,937.0,614.0,992.0,705.0,0.0
6,22,727.0,538.0,758.0,594.0,0.0
7,1,1044.0,427.0,1069.0,476.0,0.0
7,3,804.0,537.0,834.0,614.0,0.0
7,4,605.0,453.0,625.0,500.0,0.0
